Current (A),Timestamp (ms),id
1.36861e-09,8730690.0,0
1.37018e-09,8730770.0,0
1.37166e-09,8730850.0,0
1.37707e-09,8730930.0,0
1.37648e-09,8731010.0,0
1.37547e-09,8731090.0,0
1.3726e-09,8731170.0,0
1.37287e-09,8731250.0,0
1.38085e-09,8731330.0,0
1.37171e-09,8731410.0,0
1.36975e-09,8731490.0,0
1.37434e-09,8731570.0,0
1.37129e-09,8731650.0,0
1.36189e-09,8731730.0,0
1.38816e-09,8731810.0,0
1.37555e-09,8731890.0,0
1.37311e-09,8731970.0,0
1.38213e-09,8732050.0,0
1.37317e-09,8732130.0,0
1.38376e-09,8732210.0,0
1.38064e-09,8732290.0,0
1.38101e-09,8732370.0,0
1.37341e-09,8732450.0,0
1.37576e-09,8732530.0,0
1.38205e-09,8732610.0,0
1.38381e-09,8732690.0,0
1.37312e-09,8732770.0,0
1.37781e-09,8732850.0,0
1.38882e-09,8732930.0,0
1.38477e-09,8733010.0,0
1.37256e-09,8733090.0,0
1.38306e-09,8733170.0,0
1.38272e-09,8733250.0,0
1.37974e-09,8733330.0,0
1.37545e-09,8733410.0,0
1.37404e-09,8733490.0,0
1.37646e-09,8733570.0,0
1.384e-09,8733650.0,0
1.38368e-09,8733730.0,0
1.38178e-09,8733810.0,0
1.37646e-09,8733890.0,0
1.38237e-09,8733970.0,0
1.37896e-09,8734050.0,0
1.36608e-09,8734130.0,0
1.3613e-09,8734210.0,0
1.37723e-09,8734290.0,0
1.37465e-09,8734370.0,0
1.37483e-09,8734450.0,0
1.37483e-09,8734530.0,0
1.37784e-09,8734610.0,0
1.37922e-09,8734690.0,0
1.37929e-09,8734770.0,0
1.38132e-09,8734850.0,0
1.38231e-09,8734930.0,0
1.38288e-09,8735010.0,0
1.37707e-09,8735090.0,0
1.3856e-09,8735170.0,0
1.36626e-09,8735250.0,0
1.38979e-09,8735330.0,0
1.38734e-09,8735410.0,0
1.38262e-09,8735490.0,0
1.37542e-09,8735570.0,0
1.38162e-09,8735650.0,0
1.38075e-09,8735730.0,0
1.38236e-09,8735810.0,0
1.37715e-09,8735890.0,0
1.36427e-09,8735970.0,0
1.36009e-09,8736050.0,0
1.36782e-09,8736130.0,0
1.36326e-09,8736210.0,0
1.35905e-09,8736290.0,0
1.37398e-09,8736370.0,0
1.36463e-09,8736450.0,0
1.36193e-09,8736530.0,0
1.36219e-09,8736610.0,0
1.36277e-09,8736690.0,0
1.3712e-09,8736770.0,0
1.3732e-09,8736850.0,0
1.36058e-09,8736930.0,0
1.368e-09,8737010.0,0
1.3643e-09,8737090.0,0
1.36593e-09,8737170.0,0
1.36381e-09,8737250.0,0
1.36457e-09,8737330.0,0
1.36223e-09,8737410.0,0
1.36648e-09,8737490.0,0
1.36463e-09,8737570.0,0
1.36837e-09,8737650.0,0
1.36628e-09,8737730.0,0
1.36732e-09,8737810.0,0
1.38109e-09,8737890.0,0
1.37902e-09,8737970.0,0
1.37684e-09,8738050.0,0
1.38247e-09,8738130.0,0
1.39594e-09,8738210.0,0
1.40501e-09,8738290.0,0
1.37875e-09,8738370.0,0
1.38551e-09,8738450.0,0
1.37742e-09,8738530.0,0
1.37942e-09,8738610.0,0
1.36678e-09,8738690.0,1
1.37448e-09,8738770.0,1
1.36635e-09,8738850.0,1
1.37799e-09,8738930.0,1
1.37915e-09,8739010.0,1
1.37999e-09,8739090.0,1
1.37319e-09,8739170.0,1
1.35883e-09,8739250.0,1
1.36639e-09,8739330.0,1
1.36684e-09,8739410.0,1
1.37036e-09,8739490.0,1
1.37455e-09,8739570.0,1
1.37453e-09,8739650.0,1
1.36836e-09,8739730.0,1
1.37069e-09,8739810.0,1
1.38101e-09,8739890.0,1
1.3792e-09,8739970.0,1
1.37861e-09,8740050.0,1
1.37069e-09,8740130.0,1
1.36564e-09,8740210.0,1
1.35944e-09,8740290.0,1
1.3539e-09,8740370.0,1
1.36398e-09,8740450.0,1
1.36382e-09,8740530.0,1
1.36277e-09,8740610.0,1
1.35969e-09,8740690.0,1
1.35519e-09,8740770.0,1
1.35717e-09,8740850.0,1
1.3592e-09,8740930.0,1
1.36786e-09,8741010.0,1
1.37105e-09,8741090.0,1
1.3571e-09,8741170.0,1
1.35945e-09,8741250.0,1
1.35723e-09,8741330.0,1
1.35427e-09,8741410.0,1
1.35874e-09,8741490.0,1
1.35897e-09,8741570.0,1
1.35651e-09,8741650.0,1
1.36144e-09,8741730.0,1
1.36235e-09,8741810.0,1
1.35429e-09,8741890.0,1
1.35599e-09,8741970.0,1
1.35787e-09,8742050.0,1
1.36768e-09,8742130.0,1
1.35011e-09,8742210.0,1
1.36124e-09,8742290.0,1
1.35056e-09,8742370.0,1
1.36219e-09,8742450.0,1
1.35615e-09,8742530.0,1
1.35866e-09,8742610.0,1
1.37264e-09,8742690.0,1
1.36341e-09,8742770.0,1
1.37188e-09,8742850.0,1
1.36633e-09,8742930.0,1
1.34911e-09,8743010.0,1
1.36525e-09,8743090.0,1
1.36698e-09,8743170.0,1
1.36743e-09,8743250.0,1
1.35812e-09,8743340.0,1
1.35304e-09,8743410.0,1
1.36306e-09,8743490.0,1
1.36564e-09,8743570.0,1
1.37124e-09,8743650.0,1
1.36431e-09,8743730.0,1
1.36768e-09,8743810.0,1
1.36686e-09,8743890.0,1
1.36553e-09,8743970.0,1
1.3685e-09,8744050.0,1
1.37402e-09,8744130.0,1
1.36571e-09,8744210.0,1
1.36937e-09,8744300.0,1
1.36556e-09,8744370.0,1
1.36615e-09,8744450.0,1
1.36255e-09,8744540.0,1
1.35456e-09,8744610.0,1
1.36058e-09,8744690.0,1
1.3709e-09,8744770.0,1
1.37366e-09,8744850.0,1
1.37354e-09,8744930.0,1
1.36994e-09,8745010.0,1
1.37517e-09,8745100.0,1
1.3757e-09,8745170.0,1
1.37735e-09,8745250.0,1
1.37133e-09,8745330.0,1
1.36974e-09,8745410.0,1
1.37496e-09,8745490.0,1
1.37616e-09,8745580.0,1
1.37148e-09,8745650.0,1
1.37251e-09,8745730.0,1
1.36486e-09,8745810.0,1
1.37521e-09,8745890.0,1
1.3731e-09,8745970.0,1
1.367e-09,8746060.0,1
1.37004e-09,8746130.0,1
1.36694e-09,8746220.0,1
1.36971e-09,8746300.0,1
1.35273e-09,8746380.0,1
1.36434e-09,8746450.0,1
1.35901e-09,8746530.0,1
1.36796e-09,8746610.0,1
1.36679e-09,8746690.0,2
1.3643e-09,8746780.0,2
1.36511e-09,8746850.0,2
1.36869e-09,8746930.0,2
1.36914e-09,8747020.0,2
1.37253e-09,8747100.0,2
1.36986e-09,8747180.0,2
1.36481e-09,8747250.0,2
1.37091e-09,8747340.0,2
1.37214e-09,8747410.0,2
1.37415e-09,8747490.0,2
1.37761e-09,8747580.0,2
1.37966e-09,8747660.0,2
1.37195e-09,8747730.0,2
1.37628e-09,8747820.0,2
1.37805e-09,8747900.0,2
1.37792e-09,8747980.0,2
1.37678e-09,8748060.0,2
1.37892e-09,8748130.0,2
1.37738e-09,8748220.0,2
1.37986e-09,8748290.0,2
1.38002e-09,8748380.0,2
1.37611e-09,8748450.0,2
1.37717e-09,8748540.0,2
1.38194e-09,8748620.0,2
1.3641e-09,8748700.0,2
1.37287e-09,8748780.0,2
1.36557e-09,8748860.0,2
1.36633e-09,8748940.0,2
1.35867e-09,8749020.0,2
1.3261e-09,8749100.0,2
1.36784e-09,8749180.0,2
1.36127e-09,8749250.0,2
1.36301e-09,8749340.0,2
1.36289e-09,8749420.0,2
1.36346e-09,8749500.0,2
1.36825e-09,8749580.0,2
1.35943e-09,8749660.0,2
1.36572e-09,8749740.0,2
1.36558e-09,8749820.0,2
1.36206e-09,8749900.0,2
1.35968e-09,8749980.0,2
1.35096e-09,8750060.0,2
1.36487e-09,8750140.0,2
1.37255e-09,8750220.0,2
1.36919e-09,8750300.0,2
1.36341e-09,8750380.0,2
1.36395e-09,8750460.0,2
1.36253e-09,8750540.0,2
1.36928e-09,8750620.0,2
1.3695e-09,8750700.0,2
1.36741e-09,8750780.0,2
1.36668e-09,8750860.0,2
1.37417e-09,8750940.0,2
1.36927e-09,8751020.0,2
1.36858e-09,8751100.0,2
1.37542e-09,8751180.0,2
1.36557e-09,8751260.0,2
1.382e-09,8751340.0,2
1.37542e-09,8751420.0,2
1.36984e-09,8751500.0,2
1.36604e-09,8751580.0,2
1.35702e-09,8751660.0,2
1.36533e-09,8751740.0,2
1.37087e-09,8751820.0,2
1.36863e-09,8751900.0,2
1.36785e-09,8751980.0,2
1.37713e-09,8752060.0,2
1.37601e-09,8752140.0,2
1.39287e-09,8752220.0,2
1.37503e-09,8752300.0,2
1.37737e-09,8752380.0,2
1.37733e-09,8752460.0,2
1.37628e-09,8752540.0,2
1.37362e-09,8752620.0,2
1.37107e-09,8752700.0,2
1.35233e-09,8752780.0,2
1.36893e-09,8752860.0,2
1.36882e-09,8752940.0,2
1.36777e-09,8753020.0,2
1.37477e-09,8753100.0,2
1.37444e-09,8753180.0,2
1.37007e-09,8753260.0,2
1.36518e-09,8753340.0,2
1.35905e-09,8753420.0,2
1.36467e-09,8753500.0,2
1.37028e-09,8753580.0,2
1.37163e-09,8753660.0,2
1.36609e-09,8753740.0,2
1.37025e-09,8753820.0,2
1.36812e-09,8753900.0,2
1.36136e-09,8753980.0,2
1.36499e-09,8754060.0,2
1.36831e-09,8754140.0,2
1.36904e-09,8754220.0,2
1.3657e-09,8754300.0,2
1.35872e-09,8754380.0,2
1.34941e-09,8754460.0,2
1.36259e-09,8754540.0,2
1.36129e-09,8754620.0,2
1.35963e-09,8754700.0,3
1.36844e-09,8754780.0,3
1.35876e-09,8754860.0,3
1.35866e-09,8754940.0,3
1.35903e-09,8755020.0,3
1.36338e-09,8755100.0,3
1.36827e-09,8755180.0,3
1.36885e-09,8755260.0,3
1.3568e-09,8755340.0,3
1.3705e-09,8755420.0,3
1.36768e-09,8755500.0,3
1.37072e-09,8755580.0,3
1.37338e-09,8755660.0,3
1.37582e-09,8755740.0,3
1.37253e-09,8755820.0,3
1.36814e-09,8755900.0,3
1.36406e-09,8755980.0,3
1.37275e-09,8756060.0,3
1.36583e-09,8756140.0,3
1.37099e-09,8756220.0,3
1.36658e-09,8756300.0,3
1.3727e-09,8756380.0,3
1.37595e-09,8756460.0,3
1.36611e-09,8756540.0,3
1.34242e-09,8756620.0,3
1.3692e-09,8756700.0,3
1.36402e-09,8756780.0,3
1.37271e-09,8756860.0,3
1.37193e-09,8756940.0,3
1.36462e-09,8757020.0,3
1.37421e-09,8757100.0,3
1.37239e-09,8757180.0,3
1.3704e-09,8757260.0,3
1.36839e-09,8757340.0,3
1.35508e-09,8757420.0,3
1.37242e-09,8757500.0,3
1.37037e-09,8757580.0,3
1.37024e-09,8757660.0,3
1.37238e-09,8757740.0,3
1.37565e-09,8757820.0,3
1.36711e-09,8757900.0,3
1.36892e-09,8757980.0,3
1.36664e-09,8758060.0,3
1.37079e-09,8758140.0,3
1.3687e-09,8758220.0,3
1.36615e-09,8758300.0,3
1.36442e-09,8758380.0,3
1.35758e-09,8758460.0,3
1.37496e-09,8758540.0,3
1.3683e-09,8758620.0,3
1.37639e-09,8758700.0,3
1.37455e-09,8758780.0,3
1.3639e-09,8758860.0,3
1.363e-09,8758940.0,3
1.36391e-09,8759020.0,3
1.35871e-09,8759100.0,3
1.35683e-09,8759180.0,3
1.36657e-09,8759260.0,3
1.36291e-09,8759340.0,3
1.36507e-09,8759420.0,3
1.36711e-09,8759500.0,3
1.36772e-09,8759580.0,3
1.37054e-09,8759660.0,3
1.36755e-09,8759740.0,3
1.35644e-09,8759820.0,3
1.35514e-09,8759900.0,3
1.36034e-09,8759980.0,3
1.36781e-09,8760060.0,3
1.3628e-09,8760140.0,3
1.36675e-09,8760220.0,3
1.36274e-09,8760300.0,3
1.38708e-09,8760380.0,3
1.37511e-09,8760460.0,3
1.36793e-09,8760540.0,3
1.36869e-09,8760620.0,3
1.3677e-09,8760700.0,3
1.36952e-09,8760780.0,3
1.37277e-09,8760860.0,3
1.37217e-09,8760940.0,3
1.36906e-09,8761020.0,3
1.37423e-09,8761100.0,3
1.36431e-09,8761180.0,3
1.36325e-09,8761260.0,3
1.34464e-09,8761350.0,3
1.3579e-09,8761420.0,3
1.3598e-09,8761510.0,3
1.37343e-09,8761580.0,3
1.37051e-09,8761660.0,3
1.36188e-09,8761740.0,3
1.36957e-09,8761820.0,3
1.3595e-09,8761900.0,3
1.35928e-09,8761980.0,3
1.34519e-09,8762060.0,3
1.35505e-09,8762140.0,3
1.35454e-09,8762220.0,3
1.35042e-09,8762300.0,3
1.35609e-09,8762380.0,3
1.36552e-09,8762460.0,3
1.36e-09,8762540.0,3
1.35445e-09,8762620.0,3
1.35653e-09,8762700.0,4
1.35749e-09,8762780.0,4
1.36098e-09,8762860.0,4
1.34569e-09,8762940.0,4
1.35292e-09,8763020.0,4
1.3531e-09,8763100.0,4
1.33659e-09,8763180.0,4
1.35365e-09,8763260.0,4
1.34829e-09,8763340.0,4
1.34963e-09,8763420.0,4
1.36107e-09,8763500.0,4
1.36074e-09,8763580.0,4
1.35406e-09,8763660.0,4
1.35897e-09,8763740.0,4
1.36097e-09,8763820.0,4
1.35694e-09,8763900.0,4
1.36061e-09,8763980.0,4
1.36091e-09,8764060.0,4
1.36687e-09,8764140.0,4
1.36768e-09,8764220.0,4
1.36661e-09,8764300.0,4
1.36642e-09,8764380.0,4
1.35266e-09,8764460.0,4
1.36558e-09,8764550.0,4
1.35565e-09,8764620.0,4
1.35547e-09,8764700.0,4
1.36543e-09,8764780.0,4
1.35605e-09,8764860.0,4
1.3602e-09,8764940.0,4
1.35315e-09,8765020.0,4
1.35614e-09,8765100.0,4
1.35569e-09,8765180.0,4
1.35842e-09,8765260.0,4
1.34794e-09,8765340.0,4
1.36394e-09,8765420.0,4
1.36805e-09,8765500.0,4
1.36497e-09,8765580.0,4
